date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:24:32	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2011:23:56%20GMT	https://maffotchiochristia.wixsite.com/stg-sarl/decodeURIComponent(e	C:/Users/belmond/Desktop/stgsarlnew/maffotchiochristia.wixsite.com/stg-sarl/decodeURIComponent(e.1c.delayed	(from https://maffotchiochristia.wixsite.com/stg-sarl/%c3%a0-propos)
04:24:36	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2011:24:15%20GMT	https://maffotchiochristia.wixsite.com/stg-sarl/robots.txt	C:/Users/belmond/Desktop/stgsarlnew/maffotchiochristia.wixsite.com/stg-sarl/robots.1d.delayed	(from https://maffotchiochristia.wixsite.com/stg-sarl/%c3%a0-propos)
04:24:39	267/267	---M--	200	added ('OK')	text/xml	date:Thu,%2004%20May%202023%2011:24:17%20GMT	https://maffotchiochristia.wixsite.com/stg-sarl/sitemap.xml	C:/Users/belmond/Desktop/stgsarlnew/maffotchiochristia.wixsite.com/stg-sarl/sitemap.xml	(from https://maffotchiochristia.wixsite.com/stg-sarl/%c3%a0-propos)
04:24:40	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2011:24:19%20GMT	https://maffotchiochristia.wixsite.com/stg-sarl/feed.xml	C:/Users/belmond/Desktop/stgsarlnew/maffotchiochristia.wixsite.com/stg-sarl/feed.xml	(from https://maffotchiochristia.wixsite.com/stg-sarl/%c3%a0-propos)
04:24:50	3852/3852	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:24:30%20GMT	https://static.wixstatic.com/media/82c08d3efb804aa5a2af21ab98acde29.jpg/v1/fill/w_147,h_100,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/82c08d3efb804aa5a2af21ab98acde29.jpg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/82c08d3efb804aa5a2af21ab98acde29.jpg/v1/fill/w_147,h_100,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/82c08d3efb804aa5a2af21ab98acde29.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl/%c3%a0-propos)
04:24:51	2255/2255	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:24:31%20GMT	https://static.wixstatic.com/media/11062b_93d11cfcc0274fbf9508be974463425e~mv2.jpeg/v1/fill/w_97,h_65,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_93d11cfcc0274fbf9508be974463425e~mv2.jpeg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/11062b_93d11cfcc0274fbf9508be974463425e_mv2.jpeg/v1/fill/w_97,h_65,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_93d11cfcc0274fbf9508be974463425e_mv2.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl/%c3%a0-propos)
04:24:59	2886/2886	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:24:39%20GMT	https://static.wixstatic.com/media/11062b_fda6711f2e0e427c8f8d9a2e45ccbaf5~mv2.jpg/v1/fill/w_147,h_68,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_fda6711f2e0e427c8f8d9a2e45ccbaf5~mv2.jpg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/11062b_fda6711f2e0e427c8f8d9a2e45ccbaf5_mv2.jpg/v1/fill/w_147,h_68,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_fda6711f2e0e427c8f8d9a2e45ccbaf5_mv2.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl/services)
04:25:00	3384/3384	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:24:40%20GMT	https://static.wixstatic.com/media/11062b_8382e0430efb495d85472609b53759fd~mv2.jpg/v1/crop/x_583,y_0,w_1812,h_2232/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/panneaux%20solaires.jpg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/11062b_8382e0430efb495d85472609b53759fd_mv2.jpg/v1/crop/x_583,y_0,w_1812,h_2232/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/panneaux%20solaires.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl/services)
04:25:01	3395/3395	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:24:41%20GMT	https://static.wixstatic.com/media/11062b_96e3089f5908483db9dcf2feb5d1d405~mv2.jpeg/v1/crop/x_1686,y_0,w_3988,h_4912/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/R%c3%a9initialisation%20de%20la%20bo%c3%aete%20%c3%a0%20fusibles.jpeg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/11062b_96e3089f5908483db9dcf2feb5d1d405_mv2.jpe/v1/crop/x_1686,y_0,w_3988,h_4912/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,e/R%c3%a9initialisation%20de%20la%20bo%c3%aete%20%c3%a0%20fusibles	(from https://maffotchiochristia.wixsite.com/stg-sarl/services)
04:25:02	2995/2995	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:24:42%20GMT	https://static.wixstatic.com/media/030e92_b3bdd5139ed04ddc8c52b2244854f865~mv2.jpg/v1/crop/x_164,y_0,w_284,h_350/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/istockphoto-1266958681-612x612.jpg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/030e92_b3bdd5139ed04ddc8c52b2244854f865_mv2.jpg/v1/crop/x_164,y_0,w_284,h_350/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/istockphoto-1266958681-612x612.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl/services)
04:25:03	2950/2950	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:24:43%20GMT	https://static.wixstatic.com/media/11062b_8c817f9a90d045cab2b29771310bb3e3~mv2.jpeg/v1/crop/x_0,y_447,w_3333,h_4105/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Solaire%20et%20%c3%a9olien.jpeg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/11062b_8c817f9a90d045cab2b29771310bb3e3_mv2.jpeg/v1/crop/x_0,y_447,w_3333,h_4105/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Solaire%20et%20%c3%a9olien.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl/services)
04:25:03	3031/3031	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:24:43%20GMT	https://static.wixstatic.com/media/25237b_344993df7a6c438a8bd70baf678672ed~mv2.jpeg/v1/crop/x_141,y_0,w_438,h_539/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/WhatsApp%20Image%202022-09-26%20at%2021_56_46.jpeg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/25237b_344993df7a6c438a8bd70baf678672ed_mv2.jpe/v1/crop/x_141,y_0,w_438,h_539/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,e/WhatsApp%20Image%202022-09-26%20at%2021_56_46.26.d	(from https://maffotchiochristia.wixsite.com/stg-sarl/services)
04:25:04	3366/3366	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:24:44%20GMT	https://static.wixstatic.com/media/23ba1d077e4810f4868dc78d2f434b53.jpg/v1/crop/x_1,y_0,w_541,h_667/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Les%20dipl%c3%b4m%c3%a9s.jpg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/23ba1d077e4810f4868dc78d2f434b53.jpg/v1/crop/x_1,y_0,w_541,h_667/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Les%20dipl%c3%b4m%c3%a9s.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl/services)
04:25:05	3314/3314	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:24:45%20GMT	https://static.wixstatic.com/media/11062b_990fded22c5d4312afbc3f5a978c9341~mv2.jpeg/v1/crop/x_917,y_0,w_2165,h_2667/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Filtration%20des%20eaux%20us%c3%a9es.jpeg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/11062b_990fded22c5d4312afbc3f5a978c9341_mv2.jpeg/v1/crop/x_917,y_0,w_2165,h_2667/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Filtration%20des%20eaux%20us%c3%a9es.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl/services)
04:25:06	2858/2858	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:24:46%20GMT	https://static.wixstatic.com/media/030e92_00ee7e5c2552476687644aa05e6f5c6b~mv2.jpg/v1/crop/x_140,y_0,w_331,h_408/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/istockphoto-940251778-612x612.jpg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/030e92_00ee7e5c2552476687644aa05e6f5c6b_mv2.jpg/v1/crop/x_140,y_0,w_331,h_408/fill/w_79,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/istockphoto-940251778-612x612.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl/services)
04:25:19	3017/3017	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:24:59%20GMT	https://static.wixstatic.com/media/11062b_f602aeebc730496eaf3692754d7316d2~mv2.jpg/v1/fill/w_147,h_78,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_f602aeebc730496eaf3692754d7316d2~mv2.jpg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/11062b_f602aeebc730496eaf3692754d7316d2_mv2.jpg/v1/fill/w_147,h_78,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_f602aeebc730496eaf3692754d7316d2_mv2.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl/contacts)
